timestamp,ref_cycles,time_running,time_enabled,local_mem_traffic,l3_occupancy,UNHALTED_REFERENCE_CYCLES,INST_RETIRED,CPU_CLK_UNHALTED,RESOURCE_STALLS.ROB,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,DTLB_STORE_MISSES.STLB_HIT,DTLB_STORE_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_UOPS_RETIRED.L2_MISS,OFFCORE_REQUESTS.DEMAND_RFO,DTLB_LOAD_MISSES.STLB_HIT,ITLB_MISSES.STLB_HIT,MEM_LOAD_UOPS_RETIRED.L1_MISS,L2_TRANS.RFO,BR_MISP_RETIRED.ALL_BRANCHES,ICACHE.MISSES,ITLB_MISSES.MISS_CAUSES_A_WALK
7955496174593,7955496174593,nan,nan,0,0,20009106.0,27850832.0,20009094.0,82.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955516178755,20004162,nan,nan,0,0,19992362.0,27797524.0,19992356.0,442.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955536183604,20004849,nan,nan,0,0,19999876.0,27870652.0,19999860.0,5996.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955556187821,20004217,nan,nan,0,0,20000084.0,27845510.0,20000075.0,6643.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955576191633,20003812,nan,nan,0,0,19999954.0,27842665.0,19999933.0,10441.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955596195424,20003791,nan,nan,0,0,19999980.0,27860253.0,19999981.0,883.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955616199695,20004271,nan,nan,0,0,20000136.0,27829304.0,20000137.0,4701.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955636203652,20003957,nan,nan,0,0,19999876.0,27862839.0,19999874.0,612.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955656256349,20052697,nan,nan,0,0,20000266.0,27825209.0,20000256.0,446.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955676261756,20005407,nan,nan,0,0,19999876.0,27848204.0,19999868.0,197.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955696478312,20216556,nan,nan,0,0,20001644.0,27853093.0,20001641.0,nan,24.0,91.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955716497689,20019377,nan,nan,0,0,20009288.0,27881477.0,20009271.0,nan,18.0,98.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955736492423,19994734,nan,nan,0,0,19990464.0,27864476.0,19990458.0,nan,15.0,95.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955756496217,20003794,nan,nan,0,0,19999720.0,27863674.0,19999718.0,nan,15.0,93.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955776508243,20012026,nan,nan,0,0,20007962.0,27877030.0,20007970.0,nan,15.0,94.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955796504683,19996440,nan,nan,0,0,19992284.0,27863002.0,19992279.0,nan,11.0,76.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955816508783,20004100,nan,nan,0,0,19999954.0,27809725.0,19999949.0,nan,14.0,99.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955836513111,20004328,nan,nan,0,0,20000058.0,27872194.0,20000047.0,nan,15.0,93.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955856517473,20004362,nan,nan,0,0,19999954.0,27886896.0,19999953.0,nan,14.0,91.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7955876522379,20004906,nan,nan,0,0,20000032.0,27887212.0,20000042.0,nan,14.0,94.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
